areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
201	Ottawa South	0	850	99.99995	3	305	4	95	37	91	6	9	93	3	26	1	148	29	0	0.00005
202	Ottawa–Vanier	0	612	99.99992	4	171	2	125	21	83	3	3	59	0	35	2	87	16	0	0.00008
203	Ottawa West–Nepean	0	805	99.99992	7	214	4	86	48	96	3	11	89	3	48	3	145	47	0	0.00008
204	Oxford	0	712	99.99994	4	128	4	32	28	175	3	5	86	1	22	1	166	55	0	0.00006
205	Parkdale–High Park	0	512	99.99995	5	115	0	196	20	34	2	6	47	1	19	0	40	27	0	0.00005
206	Parry Sound–Muskoka	0	552	99.99994	9	223	4	31	36	32	0	15	87	6	26	4	53	25	0	0.00006
207	Perth–Wellington	0	751	99.99994	1	94	3	90	48	142	3	6	132	2	16	0	155	57	0	0.00006
208	Peterborough–Kawartha	0	575	99.99993	0	118	2	47	39	64	2	8	136	3	13	1	88	53	0	0.00007
209	Pickering–Uxbridge	0	458	99.99993	23	106	2	39	32	41	0	14	102	0	15	0	57	26	0	0.00007
210	Renfrew–Nipissing–Pembroke	0	769	99.99994	3	196	9	29	52	134	0	8	126	4	27	4	120	56	0	0.00006
211	Richmond Hill	0	576	99.99995	7	100	1	45	26	22	3	3	38	1	19	0	87	224	0	0.00005
212	Carleton	0	995	99.99993	3	267	5	71	54	120	3	8	150	6	55	3	226	23	0	0.00007
213	St. Catharines	0	431	99.99995	3	130	1	22	32	38	0	3	67	2	20	1	76	35	0	0.00005
214	Toronto–St. Paul's	0	735	99.99993	44	217	3	195	33	17	2	8	101	5	34	1	55	20	0	0.00007
215	Sarnia–Lambton	0	727	99.99995	5	127	4	40	39	80	2	13	112	4	21	2	203	74	0	0.00005
216	Sault Ste. Marie	0	221	99.99994	6	48	0	14	19	16	0	4	42	3	8	1	38	20	0	0.00006
217	Scarborough–Agincourt	0	460	99.99995	4	71	1	21	1	29	1	2	17	3	2	2	79	227	0	0.00005
218	Scarborough Centre	0	241	99.99992	5	64	0	15	19	16	1	3	14	1	5	0	32	66	0	0.00008
219	Scarborough–Guildwood	0	257	99.99996	15	62	1	14	26	36	1	1	23	0	10	0	38	30	0	0.00004
220	Scarborough North	0	315	99.99994	33	63	3	21	8	8	0	0	7	0	3	0	48	120	0	0.00006
221	Scarborough–Rouge Park	0	315	99.99996	33	78	0	32	16	26	3	5	24	0	12	1	32	53	0	0.00004
222	Scarborough Southwest	0	269	99.99993	20	69	1	33	20	18	0	4	25	1	7	3	30	38	0	0.00007
223	Simcoe–Grey	0	895	99.99994	9	177	1	51	300	58	2	11	100	5	38	2	101	39	0	0.00006
224	Simcoe North	0	543	99.99994	7	155	3	32	47	33	1	13	70	4	66	2	82	27	0	0.00006
225	Spadina–Fort York	0	551	99.99992	8	179	2	191	29	8	8	7	44	5	19	1	31	19	0	0.00008
226	Stormont–Dundas–South Glengarry	0	685	99.99993	7	178	9	28	61	114	0	11	96	7	31	2	122	17	0	0.00007
227	Sudbury	0	300	99.99996	9	74	3	29	49	23	1	5	37	2	12	1	31	22	0	0.00004
228	Thornhill	0	622	99.99994	8	174	3	56	67	38	1	4	47	3	36	2	96	87	0	0.00006
229	Thunder Bay–Rainy River	0	296	99.99993	1	72	6	22	19	41	3	1	20	2	7	0	47	55	0	0.00007
230	Thunder Bay–Superior North	0	236	99.99994	1	75	1	19	28	17	0	5	31	2	7	0	20	29	0	0.00006
231	Timmins–James Bay	0	172	99.99994	0	59	1	5	16	15	0	2	15	1	7	0	36	14	0	0.00006
232	Toronto Centre	0	461	99.99992	9	117	0	180	27	16	3	2	18	5	24	0	46	14	0	0.00008
233	Toronto–Danforth	0	415	99.99995	12	78	0	191	14	7	1	4	36	1	21	1	24	24	0	0.00005
234	University–Rosedale	0	812	99.99994	37	223	0	248	50	11	4	6	93	4	46	7	52	31	0	0.00006
